Close,date,tweet_count
2257.830078125,2017-01-03,10
2270.75,2017-01-04,10
2269.0,2017-01-05,6
2276.97998046875,2017-01-06,12
2268.89990234375,2017-01-09,8
2268.89990234375,2017-01-10,4
2275.320068359375,2017-01-11,7
2270.43994140625,2017-01-12,6
2274.639892578125,2017-01-13,8
2267.889892578125,2017-01-17,13
2271.889892578125,2017-01-18,8
2263.68994140625,2017-01-19,8
2271.31005859375,2017-01-20,13
2265.199951171875,2017-01-23,1
2280.070068359375,2017-01-24,4
2298.3701171875,2017-01-25,8
2296.679931640625,2017-01-26,11
2294.68994140625,2017-01-27,7
2280.89990234375,2017-01-30,7
2278.8701171875,2017-01-31,3
2279.550048828125,2017-02-01,4
2280.85009765625,2017-02-02,8
2297.419921875,2017-02-03,7
2292.56005859375,2017-02-06,6
2293.080078125,2017-02-07,5
2294.669921875,2017-02-08,11
2307.8701171875,2017-02-09,8
2316.10009765625,2017-02-10,3
2328.25,2017-02-13,3
2337.580078125,2017-02-14,6
2349.25,2017-02-15,11
2347.219970703125,2017-02-16,6
2351.159912109375,2017-02-17,8
2365.3798828125,2017-02-21,3
2362.820068359375,2017-02-22,2
2363.81005859375,2017-02-23,1
2367.340087890625,2017-02-24,6
2369.75,2017-02-27,2
2363.639892578125,2017-02-28,1
2395.9599609375,2017-03-01,3
2381.919921875,2017-03-02,1
2383.1201171875,2017-03-03,13
2375.31005859375,2017-03-06,4
2368.389892578125,2017-03-07,8
2362.97998046875,2017-03-08,6
2364.8701171875,2017-03-09,4
2372.60009765625,2017-03-10,3
2373.469970703125,2017-03-13,5
2365.449951171875,2017-03-14,2
2385.260009765625,2017-03-15,7
2381.3798828125,2017-03-16,7
2378.25,2017-03-17,9
2373.469970703125,2017-03-20,7
2344.02001953125,2017-03-21,4
2348.449951171875,2017-03-22,1
2345.9599609375,2017-03-23,7
2343.97998046875,2017-03-24,4
2341.590087890625,2017-03-27,1
2358.570068359375,2017-03-28,10
2361.1298828125,2017-03-29,4
2368.06005859375,2017-03-30,9
2362.719970703125,2017-03-31,8
2358.840087890625,2017-04-03,8
2360.159912109375,2017-04-04,4
2352.949951171875,2017-04-05,1
2357.489990234375,2017-04-06,2
2355.5400390625,2017-04-07,1
2357.159912109375,2017-04-10,3
2353.780029296875,2017-04-11,5
2344.929931640625,2017-04-12,6
2328.949951171875,2017-04-13,4
2349.010009765625,2017-04-17,8
2342.18994140625,2017-04-18,7
2338.169921875,2017-04-19,4
2355.840087890625,2017-04-20,4
2348.68994140625,2017-04-21,5
2374.14990234375,2017-04-24,7
2388.610107421875,2017-04-25,5
2387.449951171875,2017-04-26,9
2388.77001953125,2017-04-27,12
2384.199951171875,2017-04-28,4
2388.330078125,2017-05-01,2
2391.169921875,2017-05-02,4
2388.1298828125,2017-05-03,4
2389.52001953125,2017-05-04,10
2399.2900390625,2017-05-05,10
2399.3798828125,2017-05-08,10
2396.919921875,2017-05-09,2
2399.6298828125,2017-05-10,11
2394.43994140625,2017-05-11,6
2390.89990234375,2017-05-12,9
2402.320068359375,2017-05-15,1
2400.669921875,2017-05-16,6
2357.030029296875,2017-05-17,1
2365.719970703125,2017-05-18,4
2381.72998046875,2017-05-19,3
2394.02001953125,2017-05-22,2
2398.419921875,2017-05-23,4
2404.389892578125,2017-05-24,2
2415.070068359375,2017-05-25,4
2415.820068359375,2017-05-26,4
2412.909912109375,2017-05-30,5
2411.800048828125,2017-05-31,9
2430.06005859375,2017-06-01,5
2439.070068359375,2017-06-02,10
2436.10009765625,2017-06-05,8
2429.330078125,2017-06-06,10
2433.139892578125,2017-06-07,5
2431.77001953125,2017-06-09,7
2429.389892578125,2017-06-12,8
2440.35009765625,2017-06-13,10
2437.919921875,2017-06-14,4
2432.4599609375,2017-06-15,7
2433.14990234375,2017-06-16,7
2453.4599609375,2017-06-19,13
2437.030029296875,2017-06-20,6
2435.610107421875,2017-06-21,9
2434.5,2017-06-22,13
2438.300048828125,2017-06-23,7
2439.070068359375,2017-06-26,9
2419.3798828125,2017-06-27,14
2440.68994140625,2017-06-28,9
2419.699951171875,2017-06-29,13
2423.409912109375,2017-06-30,7
2429.010009765625,2017-07-03,10
2432.5400390625,2017-07-05,5
2409.75,2017-07-06,4
2425.179931640625,2017-07-07,7
2427.429931640625,2017-07-10,11
2425.530029296875,2017-07-11,7
2443.25,2017-07-12,14
2447.830078125,2017-07-13,4
2459.27001953125,2017-07-14,11
2459.139892578125,2017-07-17,3
2460.610107421875,2017-07-18,5
2473.830078125,2017-07-19,5
2473.449951171875,2017-07-20,3
2472.5400390625,2017-07-21,7
2469.909912109375,2017-07-24,9
2477.1298828125,2017-07-25,19
2477.830078125,2017-07-26,12
2475.419921875,2017-07-27,10
2472.10009765625,2017-07-28,9
2470.300048828125,2017-07-31,4
2476.35009765625,2017-08-01,3
2477.570068359375,2017-08-02,4
2472.159912109375,2017-08-03,10
2476.830078125,2017-08-04,16
2480.909912109375,2017-08-07,16
2474.919921875,2017-08-08,8
2474.02001953125,2017-08-09,11
2438.2099609375,2017-08-10,9
2441.320068359375,2017-08-11,8
2465.840087890625,2017-08-14,9
2464.610107421875,2017-08-15,10
2468.110107421875,2017-08-16,15
2430.010009765625,2017-08-17,12
2425.550048828125,2017-08-18,8
2428.3701171875,2017-08-21,3
2452.510009765625,2017-08-22,8
2444.0400390625,2017-08-23,10
2438.969970703125,2017-08-24,15
2443.050048828125,2017-08-25,14
2444.239990234375,2017-08-28,4
2446.300048828125,2017-08-29,6
2457.590087890625,2017-08-30,5
2471.64990234375,2017-08-31,5
2476.550048828125,2017-09-01,7
2457.85009765625,2017-09-05,6
2465.5400390625,2017-09-06,8
2465.10009765625,2017-09-07,12
2461.429931640625,2017-09-08,8
2488.110107421875,2017-09-11,2
2496.47998046875,2017-09-12,5
2498.3701171875,2017-09-13,3
2495.6201171875,2017-09-14,13
2500.22998046875,2017-09-15,14
2503.8701171875,2017-09-18,5
2506.64990234375,2017-09-19,9
2508.239990234375,2017-09-20,26
2500.60009765625,2017-09-21,9
2502.219970703125,2017-09-22,11
2496.659912109375,2017-09-25,9
2496.840087890625,2017-09-26,21
2507.0400390625,2017-09-27,12
2510.06005859375,2017-09-28,8
2519.360107421875,2017-09-29,12
2529.1201171875,2017-10-02,2
2534.580078125,2017-10-03,4
2537.739990234375,2017-10-04,13
2552.070068359375,2017-10-05,10
2549.330078125,2017-10-06,3
2544.72998046875,2017-10-09,3
2550.639892578125,2017-10-10,11
2555.239990234375,2017-10-11,15
2550.929931640625,2017-10-12,12
2553.169921875,2017-10-13,13
2557.639892578125,2017-10-16,9
2559.360107421875,2017-10-17,9
2561.260009765625,2017-10-18,17
2562.10009765625,2017-10-19,7
2575.2099609375,2017-10-20,11
2564.97998046875,2017-10-23,4
2569.1298828125,2017-10-24,8
2557.14990234375,2017-10-25,13
2560.39990234375,2017-10-26,11
2581.070068359375,2017-10-27,15
2572.830078125,2017-10-30,4
2575.260009765625,2017-10-31,15
2579.360107421875,2017-11-01,15
2579.85009765625,2017-11-02,14
