Date,number_of_tweets,avg_vader_sentiment_score
2011-07-11,2,0.0
2011-07-12,3,0.008599999999999997
2011-07-13,1,-0.3612
2011-07-14,8,-0.02163749999999999
2011-07-15,3,0.12583333333333332
2011-07-18,5,0.20418000000000003
2011-07-19,3,-0.2612333333333334
2011-07-20,3,-0.02413333333333334
2011-07-21,1,-0.6249
2011-07-22,2,-0.29295
2011-07-25,5,-0.10329999999999999
2011-07-26,5,-0.23176000000000002
2011-07-27,5,-0.32636000000000004
2011-07-28,6,-0.09305000000000002
2011-07-29,7,0.14178571428571426
2011-07-30,2,-0.3301
2011-08-01,3,0.07603333333333333
2011-08-02,6,-0.29123333333333334
2011-08-03,7,0.025628571428571438
2011-08-04,4,-0.0903
2011-08-05,3,-0.2114666666666667
2011-08-08,2,0.1909
2011-08-09,4,-0.168025
2011-08-10,4,0.0291
2011-08-11,4,0.0
2011-08-12,2,0.36005
2011-08-13,3,0.28030000000000005
2011-08-15,7,-0.0018428571428571303
2011-08-16,2,0.0
2011-08-17,4,-0.0018749999999999878
2011-08-18,4,-0.09904999999999999
2011-08-19,3,0.3207333333333333
2011-08-22,3,-0.08153333333333333
2011-08-23,4,-0.433975
2011-08-24,3,-0.13286666666666666
2011-08-25,4,-0.02112499999999999
2011-08-26,5,0.09996000000000001
2011-08-29,4,-0.20127499999999998
2011-08-30,4,-0.080175
2011-08-31,4,-0.20655
2011-09-01,4,-0.435325
2011-09-02,2,-0.38544999999999996
2011-09-06,5,-0.17282000000000003
2011-09-07,5,0.12178
2011-09-08,6,0.046716666666666684
2011-09-09,3,-0.02463333333333334
2011-09-12,6,0.10853333333333333
2011-09-13,8,0.2035625
2011-09-14,5,-0.015180000000000016
2011-09-15,5,0.09316
2011-09-16,6,0.49110000000000004
2011-09-19,6,0.06766666666666667
2011-09-20,4,-0.19215
2011-09-21,6,0.23538333333333336
2011-09-22,4,-0.1482
2011-09-23,3,0.30329999999999996
2011-09-26,2,-0.65855
2011-09-27,6,-0.11088333333333333
2011-09-28,8,0.281725
2011-09-29,8,0.015600000000000017
2011-09-30,8,-0.0566875
2011-10-03,8,0.06072500000000001
2011-10-04,7,0.19567142857142855
2011-10-05,2,-0.08424999999999999
2011-10-06,4,-0.328225
2011-10-07,6,-0.15018333333333336
2011-10-11,7,0.05975714285714285
2011-10-12,2,0.40845
2011-10-13,2,0.0
2011-10-14,3,-0.6655333333333333
2011-10-15,2,0.0
2011-10-16,1,0.7184
2011-10-17,6,-0.037216666666666655
2011-10-18,7,-0.22762857142857143
2011-10-19,5,-0.15658
2011-10-20,8,-0.1701625
2011-10-21,6,-0.24760000000000001
2011-10-24,6,-0.02238333333333335
2011-10-25,7,0.18945714285714285
2011-10-26,7,-0.01575714285714284
2011-10-27,5,0.13996000000000003
2011-10-28,4,-0.14355
2011-10-31,1,0.0
2011-11-01,6,-0.2906166666666667
2011-11-02,8,-0.2169125
2011-11-04,5,-0.2655
2011-11-08,5,-0.28916
2011-11-09,5,-0.09548000000000001
2011-11-10,9,0.05875555555555556
2011-11-11,8,0.1249125
2011-11-14,5,-0.06680000000000001
2011-11-15,6,-0.09563333333333333
2011-11-16,4,0.084425
2011-11-17,6,-0.22424999999999998
2011-11-18,5,-0.31984
2011-11-21,6,0.11523333333333334
2011-11-22,6,-0.11801666666666667
2011-11-23,4,0.351975
2011-11-28,8,0.0625375
2011-11-29,9,-0.2050666666666667
2011-11-30,7,-0.06509999999999998
2011-12-01,6,-0.20810000000000003
2011-12-02,9,0.07446666666666665
2011-12-05,5,-0.23344
2011-12-06,9,0.11154444444444442
2011-12-07,3,-0.22119999999999998
2011-12-08,14,0.17986428571428573
2011-12-09,16,0.13459375
2011-12-12,6,-0.19685
2011-12-13,12,0.04604166666666667
2011-12-14,20,-0.07363
2011-12-15,11,0.18374545454545455
2011-12-16,11,0.2747727272727273
2011-12-19,4,-0.19090000000000001
2011-12-20,15,0.24368666666666666
2011-12-21,10,0.21248999999999998
2011-12-22,10,0.18019
2011-12-27,6,-0.21386666666666665
2011-12-28,7,0.051414285714285746
2011-12-29,6,-0.13985
2011-12-30,4,-0.06785000000000002
2012-01-03,11,0.022445454545454543
2012-01-04,12,0.2751
2012-01-05,7,0.036014285714285714
2012-01-06,6,0.42169999999999996
2012-01-09,9,-0.07222222222222224
2012-01-10,9,0.28068888888888893
2012-01-11,4,0.182
2012-01-12,5,-0.04862000000000001
2012-01-13,7,-0.05287142857142856
2012-01-16,1,-0.4588
2012-01-17,6,-0.2894666666666667
2012-01-18,7,-0.10605714285714286
2012-01-19,9,0.28794444444444445
2012-01-20,7,-0.27475714285714287
2012-01-23,8,-0.052974999999999994
2012-01-24,6,-0.2627833333333333
2012-01-25,12,0.031075000000000002
2012-01-26,10,0.13394
2012-01-27,10,0.12763
2012-01-30,5,-0.036760000000000015
2012-01-31,11,-0.11869999999999999
2012-02-01,14,-0.07622857142857144
2012-02-02,2,0.1591
2012-02-03,9,-0.0735777777777778
2012-02-05,3,0.25723333333333337
2012-02-06,8,-0.02127499999999999
2012-02-07,10,-0.10586
2012-02-08,22,0.058640909090909084
2012-02-09,20,0.11000499999999999
2012-02-10,8,0.240875
2012-02-13,7,0.3585142857142857
2012-02-14,12,-0.0231
2012-02-15,20,0.082535
2012-02-16,13,0.00936153846153846
2012-02-17,10,0.055220000000000005
2012-02-21,7,-0.19721428571428573
2012-02-22,11,-0.0740090909090909
2012-02-23,11,0.19098181818181817
2012-02-24,12,0.09789166666666667
2012-02-27,7,-0.15701428571428572
2012-02-28,11,0.054009090909090895
2012-02-29,8,0.27565
2012-03-01,6,0.16126666666666667
2012-03-05,6,0.1215666666666667
2012-03-06,10,-0.12289999999999998
2012-03-07,8,0.2268
2012-03-08,7,0.24222857142857143
2012-03-09,5,-0.07304
2012-03-12,10,-0.09947000000000002
