Date,number_of_tweets,avg_vader_sentiment,avg_finbert_sentiment
2010-10-14,2,0.5387500000000001,0.0
2010-10-21,1,0.5948,0.0
2010-10-27,1,0.2263,0.0
2010-10-28,1,0.8555,0.9999984502792358
2010-11-03,1,-0.4215,0.0
2010-11-04,1,0.3658,0.0
2010-11-11,1,0.5178,-0.7293762564659119
2010-11-15,1,0.3892,0.0
2010-11-18,2,0.31245,0.0
2010-11-22,1,0.9274,0.9999814033508301
2010-11-24,3,0.44239999999999996,0.6535413463910421
2010-11-29,1,0.8402,0.0
2010-12-02,1,0.8126,0.9999998807907104
2010-12-09,1,0.8271,0.9999996423721313
2010-12-10,1,0.9022,0.9999998807907104
2010-12-13,3,0.26733333333333337,0.31931400299072266
2010-12-14,1,-0.4215,0.0
2010-12-16,1,0.9112,0.9999997615814209
2010-12-23,1,0.8347,0.9999995231628418
2010-12-30,1,0.886,0.9999996423721313
2011-01-12,2,-0.21075,0.0
2011-01-13,1,-0.281,0.0
2011-01-21,2,0.07575000000000001,0.0
2011-01-27,2,-0.148,0.0
2011-01-31,2,-0.1626,0.0
2011-02-07,1,0.34,0.0
2011-02-10,1,0.9081,0.9999990463256836
2011-02-11,1,0.0,0.0
2011-02-15,3,0.0,0.0
2011-02-16,2,0.4455,0.0
2011-02-17,2,0.0,0.0
2011-02-18,1,0.0,0.0
2011-02-22,1,0.0,0.0
2011-02-23,1,0.0,0.0
2011-02-28,3,0.14613333333333334,0.0
2011-03-02,2,-0.07655,0.0
2011-03-03,1,0.1695,0.0
2011-03-04,1,0.0,0.0
2011-03-07,2,0.1806,0.0
2011-03-08,1,0.0,0.0
2011-03-10,1,0.0,0.0
2011-03-11,1,0.1695,0.0
2011-03-14,2,0.1366,0.0
2011-03-15,5,0.205,0.0
2011-03-16,3,0.30526666666666663,0.0
2011-03-17,2,-0.08895,0.0
2011-03-18,2,0.6639,0.9996860921382904
2011-03-21,4,0.24265,0.2399923950433731
2011-03-22,2,0.0,0.0
2011-03-23,1,0.0,0.0
2011-03-28,2,0.35015,0.0
2011-03-30,2,0.0,0.0
2011-03-31,2,0.0,0.0
2011-04-01,1,0.505,0.0
2011-04-12,1,0.4019,0.0
2011-04-19,1,0.0,0.0
2011-04-25,1,0.0,0.0
2011-04-29,1,0.3182,0.0
2011-05-03,1,0.0,0.0
2011-05-09,1,0.0,0.0
2011-05-13,2,0.064,0.0
2011-05-16,2,0.63515,0.4910123348236084
2011-05-17,1,-0.1531,0.0
2011-05-19,1,0.0,0.0
2011-05-20,1,0.4486,0.0
2011-05-23,2,0.47015,0.4999995827674866
2011-05-26,1,-0.2263,0.0
2011-05-27,1,0.9337,0.9998606443405151
2011-06-01,2,0.2202,0.0
2011-06-02,1,0.0,0.0
