Date,Close,number_of_tweets,avg_vader_sentiment,avg_finbert_sentiment
2017-01-03,2257.830078125,10.0,0.0549,0.1268397033214569
2017-01-04,2270.75,10.0,-0.23252,-0.2987631738185882
2017-01-05,2269.0,6.0,-0.07525,-0.1650624374548594
2017-01-06,2276.97998046875,12.0,0.298275,-0.0587333639462788
2017-01-09,2268.89990234375,8.0,-0.1208375,0.125
2017-01-10,2268.89990234375,4.0,0.6047750000000001,0.9475754797458648
2017-01-11,2275.320068359375,7.0,-0.1683714285714285,0.14144914490836
2017-01-12,2270.43994140625,6.0,0.29745,0.0474017560482025
2017-01-13,2274.639892578125,8.0,0.0994999999999999,0.0138172507286071
2017-01-17,2267.889892578125,13.0,0.1613,0.1375227203735938
2017-01-18,2271.889892578125,8.0,0.09025,0.0624720081686973
2017-01-19,2263.68994140625,8.0,0.4773,0.4902063310146332
2017-01-20,2271.31005859375,13.0,0.1655230769230769,0.0763397125097421
2017-01-23,2265.199951171875,1.0,0.4939,0.0
2017-01-24,2280.070068359375,4.0,0.314825,0.0
2017-01-25,2298.3701171875,8.0,0.0556125,0.1211327835917472
2017-01-26,2296.679931640625,11.0,0.0472454545454545,-0.1599245396527377
2017-01-27,2294.68994140625,7.0,0.2596428571428572,0.094101709978921
2017-01-30,2280.89990234375,7.0,-0.1804285714285714,0.0063656398228236
2017-01-31,2278.8701171875,3.0,-0.0208999999999999,0.0
2017-02-01,2279.550048828125,4.0,0.2239499999999999,0.2801984250545501
2017-02-02,2280.85009765625,8.0,0.0503125,0.3249372914433479
2017-02-03,2297.419921875,7.0,-0.1753142857142857,0.1426261067390442
2017-02-06,2292.56005859375,6.0,-0.0267166666666666,0.0417860647042592
2017-02-07,2293.080078125,5.0,-0.50652,5.5348873138427736e-05
2017-02-08,2294.669921875,11.0,0.1229363636363636,-0.0534786094318736
2017-02-09,2307.8701171875,8.0,0.2498125,-0.23307566344738
2017-02-10,2316.10009765625,3.0,-0.1709666666666666,0.0
2017-02-13,2328.25,3.0,0.3435666666666666,0.0
2017-02-14,2337.580078125,6.0,0.2424333333333333,-0.0063199698925018
2017-02-15,2349.25,11.0,-0.0075999999999999,-0.3021419915285977
2017-02-16,2347.219970703125,6.0,-0.2219333333333333,0.0195842087268829
2017-02-17,2351.159912109375,8.0,-0.1235375,0.1249842196702957
2017-02-21,2365.3798828125,3.0,-0.0452,0.0
2017-02-22,2362.820068359375,2.0,0.6028,0.4999998807907104
2017-02-23,2363.81005859375,1.0,0.0,0.5938209891319275
2017-02-24,2367.340087890625,6.0,-0.2447166666666666,-0.4973951975504557
2017-02-27,2369.75,2.0,0.6436,0.9870392084121704
2017-02-28,2363.639892578125,1.0,0.4939,0.0
2017-03-01,2395.9599609375,3.0,0.2190666666666666,0.2116154034932454
2017-03-02,2381.919921875,1.0,0.6908,0.9999997615814208
2017-03-03,2383.1201171875,13.0,-0.0758076923076923,-0.0723717396075909
2017-03-06,2375.31005859375,4.0,0.396025,0.4787141382694244
2017-03-07,2368.389892578125,8.0,0.1960625,-0.1092663779854774
2017-03-08,2362.97998046875,6.0,0.6152166666666666,0.4248591760794322
2017-03-09,2364.8701171875,4.0,0.6586,0.6759167909622192
2017-03-10,2372.60009765625,3.0,0.0494,0.0110517541567484
2017-03-13,2373.469970703125,5.0,0.1546399999999999,0.2000010251998901
2017-03-14,2365.449951171875,2.0,0.44425,0.5
2017-03-15,2385.260009765625,7.0,0.1761142857142857,0.0052884817123413
2017-03-16,2381.3798828125,7.0,0.5951571428571428,0.4285700491496494
2017-03-17,2378.25,9.0,0.3752666666666667,-0.1111092699898613
2017-03-20,2373.469970703125,7.0,-0.0341857142857143,0.1350881457328796
2017-03-21,2344.02001953125,4.0,0.600375,0.6833391934633255
2017-03-22,2348.449951171875,1.0,-0.1027,0.9179837703704834
2017-03-23,2345.9599609375,7.0,-0.1228,0.2853558574404035
2017-03-24,2343.97998046875,4.0,0.42605,0.9621827900409698
2017-03-27,2341.590087890625,1.0,0.6249,0.999616265296936
2017-03-28,2358.570068359375,10.0,0.31576,0.2995843768119812
2017-03-29,2361.1298828125,4.0,-0.1244,-0.0094702839851379
2017-03-30,2368.06005859375,9.0,0.0744555555555555,0.0838965309990776
2017-03-31,2362.719970703125,8.0,0.41275,0.446218878030777
2017-04-03,2358.840087890625,8.0,0.4366125,0.2725700512528419
2017-04-04,2360.159912109375,4.0,0.405325,0.25
2017-04-05,2352.949951171875,1.0,0.8908,0.9999797344207764
2017-04-06,2357.489990234375,2.0,0.37895,0.0
2017-04-07,2355.5400390625,1.0,0.7645,0.9999994039535522
2017-04-10,2357.159912109375,3.0,0.733,0.8617181579271952
2017-04-11,2353.780029296875,5.0,0.4112,0.33558109998703
2017-04-12,2344.929931640625,6.0,0.5913499999999999,0.3333271145820617
2017-04-13,2328.949951171875,4.0,0.8101499999999999,0.7499840259552002
2017-04-17,2349.010009765625,8.0,0.2767,-0.128646969795227
2017-04-18,2342.18994140625,7.0,-0.1091571428571428,-0.0432877029691423
2017-04-19,2338.169921875,4.0,0.30375,-0.2558951526880264
2017-04-20,2355.840087890625,4.0,0.25025,0.19280806183815
2017-04-21,2348.68994140625,5.0,-0.3104,-0.1696545243263244
2017-04-24,2374.14990234375,7.0,-0.1244,-0.237506023475102
2017-04-25,2388.610107421875,5.0,0.2861,-1.0967254638671874e-06
2017-04-26,2387.449951171875,9.0,-0.1673888888888889,-0.0489510231547885
2017-04-27,2388.77001953125,12.0,0.1543416666666666,0.0193778922160466
2017-04-28,2384.199951171875,4.0,0.0719,-0.154112622141838
2017-05-01,2388.330078125,2.0,0.6407499999999999,0.4998719990253448
2017-05-02,2391.169921875,4.0,0.0272999999999999,0.0896652340888977
2017-05-03,2388.1298828125,4.0,0.531025,0.1787963062524795
2017-05-04,2389.52001953125,10.0,0.08673,-0.1272279024124145
